Count,Time BAB,Time TATT,Time CF,Cost BAB,Cost TATT,Cost CF
3,3,3,3,264560.752465,264560.752465,264560.752465
4,3,3,3,403190.178148,403190.178148,403190.178148
5,3,2,2,432803.832621,432803.832621,432803.832621
6,3,3,3,453861.932457,454229.603534,453861.932457
7,4,3,3,454298.033890,482299.985195,501204.778756
8,4,2,3,525534.571160,645111.884223,555990.187596
9,4,3,3,525534.922244,614915.810290,714033.233785
10,5,4,4,563389.592504,677562.403818,759310.393790
11,6,3,3,701965.511293,783331.467183,710011.901675
12,12,4,4,733427.121949,901475.640033,929347.923235
13,20,3,3,733462.256981,875096.192813,1021857.575025
14,37,3,2,762131.400230,897346.119720,1016081.259132
15,109,3,3,787342.981235,922787.504572,967544.593043
16,544,2,2,831332.743439,1048274.651364,985504.472180
17,393,3,3,841169.714305,1009269.539659,943724.673322
18,1313,3,3,867543.263836,1063844.611019,1173924.252261
19,3115,3,3,901911.206234,1149348.670070,1218218.611869
20,7493,4,4,901977.308540,1137042.284310,1283913.448565
21,36459,3,2,912318.224414,1158687.363307,1259261.830808
22,88337,3,3,916032.639481,1174226.322543,1277693.549919
23,158605,3,3,923331.663588,1221541.608303,1309223.044190
24,258913,3,3,936543.467861,1234753.412576,1273151.836368
25,751071,3,3,998063.813474,1275624.454101,1302670.330682
26,1203127,3,3,1034033.875206,1365703.667777,1205434.773058
27,1439042,3,3,1040414.314279,1319119.311735,1115557.662901
